,User @,Comment Text,original_comment
930,erwinnusi01,manfaatnya rakyat,['apa manfaatnya buat rakyat kecil?']
931,erwinosbourne,berani nya bermanuver infrastruktur nya tersedia rakyat miskin,['Berani itu bagaimana cara nya bermanuver selalu pada infrastruktur.\ntp bagaimana cara nya tidak ada rakyat miskin']
932,eshalgwen,semoga pembangunan tranparan apapun,['Semoga pembangunan disana selalu tranparan tentang apapun itu']
933,estemat82,wajib percaya bicara orang bilang kantong tersedia 11000t,['wajib tidak percaya Krn yg bicara org yg sama bilang klo di kantong saya ada 11000T 🤭']
934,esterkewinay,presiden,['luar biasa pak presiden kami']
935,etohretussimukuetohgmail,keadilan,['sypuyya ad rasa keadilan']
936,ettymambrasar,jokowi hebat tenang nyata,['Jokowi hebat tenang tapi pasti dan nyata2']
937,evanfebri90,menurunkan harga bbm,['tapi turunin harga bbm']
938,evanlya93,lanjutkan indonesia majukan,['LANJUTKAN INDONESIA MAJU 🇮🇩🇮🇩🇮🇩❤️❤️❤️']
939,evanyuni_,rakyat bantu doa bantu membayar cicilan hutang pemerintah faktor pajak bahan kebutuhan naikan rasakan proyek taring untung pemerintah tetangga untung program,"['klw kita rakyat biasa cuma bisa bantu doa dan bantu nyicil hutang negara dgn semua faktor pajak dan bahan kbutuhan yg di naikan itu yg kmi rasakan', 'ia tau pak. tp yg jelas in proyek\nyg mana kalian yg punya taring lah yg untung besar .negara tetangga pun untung besar dlm program bpk.']"
940,eviecharming,terbaik benar-benar pengukir sejarah indah indonesia sehat presiden terbaikku tolong tolong tolong beliau presiden seumur hidup hebat kehabisan kata-kata,"['terrrbaiiikkkkkkk... benar2 pengukir sejarah indah Indonesia 😍😍😍\nSehat selalu presiden terbaikkuuu🥰🙏', 'tolong tolong tolong.. beliau presiden seumur hidup😭😭😭😭', 'heeebaaaaaaattt.. speechless wes😭😭😭😭😭😭']"
941,evinoviyanti_,wih tersedia perubahan nih,['Wihhh bkl ada perubahan nih']
942,ewinaja1234,memanfaatkan utang lagikasihan anak cucu menanggung yaya allah bantu,"['klo Menurut gua Sih ,Mending Memanfaatkan yg ada,drpd Buat Baru UTANG Lagi🤦🏾\u200d♂️🤦🏾\u200d♂️,Kasihan anak cucu kita menanggung ya🙏🏽ya Allah Bantu kami']"
943,excklop,kayak arab kota tujuan wisata dunia menyaingi dubai,['sekalian bikin kyk Arab neom aja kota tujuan wisata dunia nyaingin Dubai']
944,eyangdharma,keren 3 periode,['keren lanjut 3 periode🥰🥰🥰🥰']
945,ezragksukakerupuk,takut kalimantan dijadiin kota takutnya hutan digusur dijadiin gedung soalny hutan asri banget,['Kok aku malah takut klo klimntn itu dijadiin ibu kota soalnya takutnya itu hutan2 digusur dan dijadiin gedung soalny htnnya itu msih asri bgt']
946,f.caramell_,ongkos kirim mahal,['Bismillah Ongkir gak mahal lagi😂']
947,fadhil130313,terharu merinding semoga allah melancarkan amin,"['terharu, merinding... semoga Allah melancarkan smw nya..amiin...']"
948,fadhilalkamangi,karno pindahkan Palangkaraya kotallu ditengah hutan penajam paklalu tanahnya milik,['NAH BUNG KARNO KAN MAU PINDAHKAN KE PALANGKARAYA YGSUDAH KOTA..LLU SEKARANG KENAPA DITENGAH HUTAN PENAJAM PAK??LALU TANAHNYA MILIK SIAPA AJA??']
949,fadhilraditya03,udara segar kalimantan hilang,['noooooo udara Segar Kalimantan udah Hilang 😱']
950,fadilfirdaus28,kejar lowongan kerja nya bang,['yang aku kejer lowongan kerja nya bg']
951,fadl11_,gorontalo merdeka duluan kota,['Padahal Gorontalo merdeka duluan kok ga jadi ibu kota?']
952,fadlankaromi,ngomong,['NGOMONG APA KOE']
953,fahidayt15,,['gw ngerasa bukan masa dpn tp masa lalu🗿🤡']
954,fahmyasysyaf,berharap indonesia pemerintah majutapi pemimpin,"['Kami memang brharap RI jadi negara maju,tapi dgn pemimpin yg baru😂😂😂']"
955,fahrezabtr,pemerataan mengubah logis apakabar provinsi mengubah hayoo,['apakah pemerataan hrus dg pindah. gak logis njir.\ntrus apakabar provinsi lain apa harus pindah lagi hayoo']
